sample	unit	fq1	fq2	readlen	desiree_layers	desiree_layers_geno	rp_layer_geno	rp_layers
CIP_Desiree	KFRAG_01506	KFRAG_01506-1.fq.gz	KFRAG_01506-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
CIP_Desiree	KFRAG_01506_b	KFRAG_01506_b-1.fq.gz	KFRAG_01506_b-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
CNRS_Desiree	SRR8261493	SRR8261493_1.fastq.gz	SRR8261493_2.fastq.gz	short	TRUE	TRUE	TRUE	FALSE
Cornell_Desiree_2021	CSFP210001504_HY5JKDSXY_L1	C_DES_C_CSFP210001504-1a_HY5JKDSXY_L1_1.fq.gz	C_DES_C_CSFP210001504-1a_HY5JKDSXY_L1_2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
Cornell_Desiree_2021	CSFP210001504_HY5KHDSXY_L1	C_DES_C_CSFP210001504-1a_HY5KHDSXY_L1_1.fq.gz	C_DES_C_CSFP210001504-1a_HY5KHDSXY_L1_2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
Cornell_Desiree_root	KFRAG_01587	KFRAG_01587-1.fq.gz	KFRAG_01587-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
Cornell_Desiree_root	KFRAG_01587_run2	KFRAG_01587_run2-1.fq.gz	KFRAG_01587_run2-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
Cornell_Desiree_root	KFRAG_01587_run3	KFRAG_01587_run3-1.fq.gz	KFRAG_01587_run3-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
Cornell_Desiree_trichome	CDT7	CDT7-1.fq.gz	CDT7-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
Cornell_Desiree_trichome	CDT8	CDT8-1.fq.gz	CDT8-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
IPK_Depesche	KFRAG_01580_lane1	IPK_Depesche-1.fq.gz	IPK_Depesche-2.fq.gz	short	TRUE	FALSE	TRUE	FALSE
IPK_Depesche	KFRAG_01580_lane2	IPK_Depesche_lane2-1.fq.gz	IPK_Depesche_lane2-2.fq.gz	short	TRUE	FALSE	TRUE	FALSE
IPK_Desiree	KFRAG_01577_lane1	IPK_Desiree-1.fq.gz	IPK_Desiree-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
IPK_Desiree	KFRAG_01577_lane2	IPK_Desiree_lane2-1.fq.gz	IPK_Desiree_lane2-2.fq.gz	short	TRUE	TRUE	TRUE	FALSE
IPK_Urgenta	KFRAG_01579_AVT0014_lane1	IPK_Urgenta-1.fq.gz	IPK_Urgenta-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
IPK_Urgenta	KFRAG_01579_AVT0014_lane2	IPK_Urgenta_lane2-1.fq.gz	IPK_Urgenta_lane2-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	CSFP210001502_HY5JKDSXY_L1_1	U_DES_C_CSFP210001502-1a_HY5JKDSXY_L1_1.fq.gz	U_DES_C_CSFP210001502-1a_HY5JKDSXY_L1_2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	CSFP210001502_HY5KHDSXY_L1_1	U_DES_C_CSFP210001502-1a_HY5KHDSXY_L1_1.fq.gz	U_DES_C_CSFP210001502-1a_HY5KHDSXY_L1_2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	FRAG_01473	FRAG01473_S39_L003_1.fastq.gz	FRAG01473_S39_L003_2.fastq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	KFRAG_00469	KFRAG_00469_1.fastq.gz	KFRAG_00469_2.fastq.gz	short	TRUE	FALSE	TRUE	TRUE
PI310467	m64069_211118_031642	m64069_211118_031642.hifi_reads.fastq.gz	NaN	long	TRUE	FALSE	TRUE	TRUE
PI310467	m64069_211125_193709	m64069_211125_193709.hifi_reads.fastq.gz	NaN	long	TRUE	FALSE	TRUE	TRUE
PI310467	m84066_230512_192902	m84066_230512_192902_s4.hifi_reads.default.bam	NaN	long	TRUE	FALSE	TRUE	TRUE
PI310467_root	KFRAG_01585_AVT0019_lane1	RP_root-1.fq.gz	RP_root-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01520_A00953:535:HTK2MDSX3:4	URGENTA_A00953:535:HTK2MDSX3:4-1.fq.gz	URGENTA_A00953:535:HTK2MDSX3:4-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01520_A00953:538:HTHK7DSX3:4	URGENTA_A00953:538:HTHK7DSX3:4-1.fq.gz	URGENTA_A00953:538:HTHK7DSX3:4-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01520_A01535:134:H2FMGDSX5:3	URGENTA_A01535:134:H2FMGDSX5:3-1.fq.gz	URGENTA_A01535:134:H2FMGDSX5:3-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01586_AVT0038_lane1	KFRAG_01586-1.fq.gz	KFRAG_01586-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01586_AVT0038_lane2	KFRAG_01586_run1-1.fq.gz	KFRAG_01586_run1-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
URGENTA	KFRAG_01586_AVT0038_lane3	KFRAG_01586_run2-1.fq.gz	KFRAG_01586_run2-2.fq.gz	short	TRUE	FALSE	TRUE	TRUE
